,petal_length,petal_width,y,pre
52,4.9,1.5,1,1
60,3.5,1.0,1,1
21,1.5,0.4,0,0
90,4.4,1.2,1,1
20,1.7,0.2,0,0
94,4.2,1.3,1,1
43,1.6,0.6,0,0
138,4.8,1.8,2,1
1,1.4,0.2,0,0
121,4.9,2.0,2,2
73,4.7,1.2,1,1
95,4.2,1.2,1,1
102,5.9,2.1,2,2
119,5.0,1.5,2,1
66,4.5,1.5,1,1
78,4.5,1.5,1,1
26,1.6,0.4,0,0
45,1.4,0.3,0,0
113,5.0,2.0,2,2
146,5.0,1.9,2,2
33,1.4,0.2,0,0
57,3.3,1.0,1,1
85,4.5,1.6,1,1
123,4.9,1.8,2,2
96,4.2,1.3,1,1
109,6.1,2.5,2,2
75,4.4,1.4,1,1
149,5.1,1.8,2,2
9,1.5,0.1,0,0
92,4.0,1.2,1,1
